height,block time,block size,last commit round
1,1722437263581335000,0,0
2,1722437296774242237,0,1
3,1722437298121091689,0,0
4,1722437299574460883,0,0
5,1722437301087808869,0,0
6,1722437302608495214,0,0
7,1722437304034441905,0,0
8,1722437305623283020,0,0
9,1722437306944846023,0,0
10,1722437308456742029,0,0
11,1722437309778869324,0,0
12,1722437311308917259,0,0
13,1722437312679913864,0,0
14,1722437314065355841,0,0
15,1722437315383903176,7823,0
16,1722437316675318410,0,0
17,1722437318094379169,7823,0
18,1722437319656154051,145332,0
19,1722437321318441575,172561,0
20,1722437324367941250,346325,0
21,1722437327577621491,379891,0
22,1722437331163013319,406293,0
23,1722437334992227448,490772,0
24,1722437339008573110,446691,0
25,1722437342215426516,452908,0
26,1722437345835097612,479716,0
27,1722437349556435503,550171,0
28,1722437352875589516,353721,0
29,1722437356967810384,920314,0
30,1722437365306029379,0,1
31,1722437366813547847,572360,0
32,1722437370700538353,488074,0
33,1722437375875973147,795687,0
34,1722437378893123868,541739,0
35,1722437381808946012,1125388,0
36,1722437387900382089,934558,0
37,1722437390982768061,561717,0
38,1722437394647742504,836409,0
39,1722437397528837692,681949,0
40,1722437400583693574,764189,0
41,1722437404157528074,623243,0
42,1722437407574300584,1063368,0
43,1722437411078416744,629214,0
44,1722437414618635331,1240457,0
45,1722437417918967640,728103,0
46,1722437421360084467,885970,0
47,1722437426144015561,825366,0
48,1722437429952522316,673305,0
49,1722437434125886549,407885,0
50,1722437438625317369,701602,0
51,1722437442157079890,0,0
52,1722437617023014726,0,10
53,1722437618447464338,0,0
54,1722437619764025893,0,0
55,1722437621080950573,0,0
56,1722437622399617554,0,0
57,1722437623921954706,0,0
58,1722437625250353863,0,0
59,1722437626560397742,0,0
60,1722437627944656976,0,0
