height,block time,block size,last commit round
1,1723208539066864000,0,0
2,1723208567942591543,0,0
3,1723208569266515066,0,0
4,1723208576208278528,0,1
5,1723208577529765842,0,0
6,1723208578849041480,0,0
7,1723208580272657824,0,0
8,1723208581690539934,0,0
9,1723208583011787052,0,0
10,1723208584331440386,0,0
11,1723208585628997898,0,0
12,1723208587051780555,0,0
13,1723208588368068315,0,0
14,1723208589816822716,0,0
15,1723208591275339963,0,0
16,1723208592593442881,15473,0
17,1723208593925571568,0,0
18,1723208595244795931,0,0
19,1723208596657508264,403700,0
20,1723208598331634096,0,0
21,1723208599748151345,281200,0
22,1723208601369801210,0,0
23,1723208602766819573,468000,0
24,1723208604461857783,26455,0
25,1723208605876783380,214045,0
26,1723208607516260764,92075,0
27,1723208609022964727,276225,0
28,1723208610551202578,108048,0
29,1723208612031162355,342152,0
30,1723208613590783503,197592,0
31,1723208615066362265,625708,0
32,1723208616756144278,200937,0
33,1723208618294737890,407963,0
34,1723208619977015188,286200,0
35,1723208621561766263,286200,0
36,1723208623068823791,220308,0
37,1723208624506144515,113492,0
38,1723208625898542759,353452,0
39,1723208627425570816,449848,0
40,1723208628975868087,281790,0
41,1723208630499747712,344410,0
42,1723208632038482178,358450,0
43,1723208633582932921,358450,0
44,1723208635082434019,450878,0
45,1723208636690743438,313322,0
46,1723208638242947347,285525,0
47,1723208639763182917,95175,0
48,1723208641217099772,105980,0
49,1723208642808642943,45420,0
50,1723208644275609330,354340,0
51,1723208645782232947,151860,0
52,1723208647354655017,549290,0
53,1723208648968554118,235410,0
54,1723208650380032221,328926,0
55,1723208652003292380,92774,0
56,1723208653373273566,290799,0
57,1723208655000192110,77301,0
58,1723208656389691390,295120,0
59,1723208657935163409,126480,0
60,1723208659420783235,329250,0
61,1723208660984700520,109750,0
62,1723208662383235057,466967,0
63,1723208664089168529,190733,0
64,1723208665636598010,501097,0
65,1723208667256496959,133203,0
66,1723208668721027800,140175,0
67,1723208670321630508,17325,0
68,1723208671659167480,618552,0
69,1723208673342954035,84348,0
70,1723208674732800646,152101,0
71,1723208676377739190,18799,0
72,1723208677719838688,466100,0
73,1723208679314055762,123900,0
74,1723208680772469742,435477,0
75,1723208682478444677,53823,0
76,1723208683897353735,679932,0
77,1723208685633601695,6868,0
78,1723208687057068576,782100,0
79,1723208688776513822,84870,0
80,1723208690209500637,692730,0
81,1723208691938352132,99372,0
82,1723208693312873215,282828,0
83,1723208695005292889,99847,0
84,1723208696441770413,244453,0
85,1723208698048542569,196533,0
86,1723208699569926322,481167,0
87,1723208701162558758,197956,0
88,1723208702591781292,251944,0
89,1723208704087938515,315798,0
90,1723208705599206854,436102,0
91,1723208707141140496,75000,0
92,1723208708692765623,75000,0
93,1723208710222834286,225216,0
94,1723208711647628807,264384,0
95,1723208713161808260,110649,0
96,1723208714649353041,224651,0
97,1723208716199007892,154572,0
98,1723208717662121630,313828,0
99,1723208719203506473,87676,0
100,1723208720664616939,102924,0
101,1723208722292420988,143350,0
102,1723208723759726155,143350,0
103,1723208725280787597,269560,0
104,1723208726881134397,316440,0
105,1723208728433902905,187030,0
106,1723208730032231659,129970,0
107,1723208731505772845,288704,0
108,1723208733080487705,162396,0
109,1723208734611387713,290156,0
110,1723208736188914384,136544,0
111,1723208737588642077,243672,0
112,1723208739076085439,125528,0
113,1723208740601564751,466985,0
114,1723208742158308717,324515,0
115,1723208743609725174,302412,0
116,1723208745247126116,155788,0
117,1723208746654205138,308322,0
118,1723208748161251322,181078,0
119,1723208749674711249,297330,0
120,1723208751228042891,153170,0
121,1723208752746303312,203630,0
122,1723208754351005138,87270,0
123,1723208755733925321,401148,0
124,1723208757343575978,206652,0
125,1723208758847097738,539420,0
126,1723208760482440722,231180,0
127,1723208761941559366,206960,0
128,1723208763562093290,51740,0
129,1723208765011003537,113120,0
130,1723208766711900639,28280,0
131,1723208768059704429,442560,0
132,1723208769617607931,110640,0
133,1723208771018176351,330457,0
134,1723208772610554219,87843,0
135,1723208773973367496,155680,0
136,1723208775478433168,66720,0
137,1723208776932154714,295302,0
138,1723208778612568950,78498,0
