height,block time,block size,last commit round
1,1723544569271928000,0,0
2,1723544603404269710,0,0
3,1723544606051301996,0,0
4,1723544610845656498,0,0
5,1723544612488253695,0,0
6,1723544614374477808,0,0
7,1723544616398158916,0,0
8,1723544618645543243,0,0
9,1723544620654078111,0,0
10,1723544622667814130,0,0
11,1723544624685195780,0,0
12,1723544626695733295,0,0
13,1723544628712615508,0,0
14,1723544630610030114,0,0
15,1723544632468181391,0,0
16,1723544634198625621,18534,0
17,1723544636027636641,0,0
18,1723544637896106627,0,0
19,1723544639634742405,0,0
20,1723544641409325307,198240,0
21,1723544643270181466,264320,0
22,1723544645101370419,264320,0
23,1723544646940649664,165200,0
24,1723544648856820003,363440,0
25,1723544650655203642,297360,0
26,1723544652405480624,198240,0
27,1723544654176208345,297360,0
28,1723544656155729102,264320,0
29,1723544657949519391,264320,0
30,1723544659694080286,264320,0
31,1723544661487275900,264320,0
32,1723544663195703439,264320,0
33,1723544665105081075,297360,0
34,1723544666975544645,231280,0
35,1723544668727526293,548647,0
36,1723544670741474611,659855,0
37,1723544672703718283,0,0
38,1723544674505773555,99120,0
39,1723544676445551379,660800,0
40,1723544678622497744,958160,0
41,1723544681314367853,0,0
42,1723544692297170028,312147,1
43,1723544697639718322,1914497,0
44,1723544701206405894,1916320,0
45,1723544718153043884,1916320,1
46,1723544722888680522,1916320,0
47,1723544733579402026,1916320,1
48,1723544737031243631,1934048,0
49,1723544741757267981,508896,0
50,1723544746320609550,0,0
51,1723544751790654384,784464,0
52,1723544753825556897,130744,0
53,1723544755660427257,0,0
54,1723544757449416101,450060,0
55,1723544759523613144,1919790,0
56,1723544761577978355,0,0
57,1723544763236568269,0,0
58,1723544764934521730,208098,0
59,1723544766762394754,312147,0
60,1723544768546951465,312147,0
61,1723544770316268336,346830,0
62,1723544772073823546,466488,0
63,1723544773918468469,381672,0
64,1723544775698897211,508896,0
65,1723544777636578746,313618,0
66,1723544779298417600,294174,0
67,1723544781108963295,294174,0
68,1723544782920795277,369184,0
69,1723544784742367519,375050,0
70,1723544786587104254,300040,0
71,1723544788365377590,1922410,0
72,1723544790343752029,0,0
73,1723544792035596640,0,0
74,1723544793764388902,242781,0
75,1723544795603674818,277464,0
76,1723544797371875855,381513,0
77,1723544799118347431,389238,0
78,1723544800922625197,424080,0
79,1723544802791198295,339264,0
80,1723544804585119132,678528,0
81,1723544806460360796,336582,0
82,1723544808203150860,228802,0
83,1723544809975322656,359546,0
84,1723544811785126780,406689,0
85,1723544813645922679,337545,0
86,1723544815378225219,337545,0
87,1723544817208462538,1921100,0
88,1723544819361764817,0,0
89,1723544821012826561,0,0
90,1723544822724261763,485562,0
91,1723544824655102122,346830,0
92,1723544826539162272,381513,0
93,1723544828344076639,212040,0
94,1723544830113150277,636120,0
95,1723544831931283864,551304,0
96,1723544833785499950,84816,0
97,1723544835575109492,588348,0
98,1723544837434570659,326860,0
99,1723544839321543065,228802,0
100,1723544841130275287,337545,0
101,1723544842909136692,450060,0
102,1723544844612540007,1922410,0
103,1723544846613210584,0,0
104,1723544848411195835,0,0
105,1723544850147200879,277464,0
106,1723544852006235777,1902684,0
107,1723544854045246150,0,0
108,1723544855801658211,0,0
109,1723544857546523071,208098,0
110,1723544859427578059,1896534,0
111,1723544861507392561,254448,0
112,1723544863346593614,169632,0
113,1723544865164955748,766864,0
114,1723544867102180623,1094562,0
115,1723544869133139676,196116,0
116,1723544870988490684,499928,0
117,1723544873005454890,1133741,0
118,1723544874945229384,468289,0
119,1723544876756724410,375050,0
120,1723544878498835550,337545,0
121,1723544880318740541,112515,0
122,1723544882119814378,1938130,0
123,1723544884123618554,0,0
124,1723544885925737764,0,0
125,1723544887580841811,658977,0
126,1723544889419539216,867075,0
127,1723544891343027363,138732,0
128,1723544893213966095,296856,0
129,1723544895053074450,1145016,0
130,1723544897044373764,593712,0
131,1723544898884504385,0,0
132,1723544900694339282,784464,0
133,1723544902530175677,751778,0
134,1723544904451143781,32686,0
135,1723544906212464548,562575,0
136,1723544908149635773,1087645,0
137,1723544910140603644,1935510,0
138,1723544912172368330,0,0
139,1723544913883191342,0,0
140,1723544915584709892,416196,0
141,1723544917425969331,971124,0
142,1723544919399967434,208098,0
143,1723544921329364544,169632,0
144,1723544923156287276,1272240,0
145,1723544925125349846,466488,0
146,1723544926899542151,42408,0
147,1723544928697160410,588348,0
148,1723544930532806850,882522,0
149,1723544932405064220,0,0
150,1723544934086773435,295221,0
151,1723544935925148397,1125150,0
152,1723544937919287256,300040,0
153,1723544939769478195,1920833,0
154,1723544941792059912,1922564,0
155,1723544943780859612,1922564,0
