height,block time,block size,last commit round
1,1723823201559211000,0,0
2,1723823243648591828,0,1
3,1723823245319385732,0,0
4,1723823247449687544,0,0
5,1723823249611401812,0,0
6,1723823251795599827,0,0
7,1723823254062193255,0,0
8,1723823256132145996,0,0
9,1723823258502408514,0,0
10,1723823260377283818,0,0
11,1723823262800886637,0,0
12,1723823264666375879,0,0
13,1723823266419417141,0,0
14,1723823268390574421,6292,0
15,1723823270168332087,0,0
16,1723823271989869009,0,0
17,1723823273940217644,521324,0
18,1723823275820235045,901306,0
19,1723823277804785397,643790,0
20,1723823279917820519,1035988,0
21,1723823281945315606,1557128,0
22,1723823284026928013,1544498,0
23,1723823286166805102,2703090,0
24,1723823288689710501,3732648,0
25,1723823292986849376,4118244,0
26,1723823295742938563,965153,0
27,1723823298627364356,2637839,0
28,1723823301481839831,2380625,0
29,1723823304061553167,3280451,0
30,1723823312766335523,579089,1
31,1723823314742929812,579043,0
32,1723823316900327131,2122747,0
33,1723823319211840725,1351013,0
34,1723823321275697351,1157918,0
35,1723823323293858530,7655195,0
36,1723823340228953458,4953617,2
37,1723823343731347837,3151645,0
38,1723823346975496234,7654283,0
39,1723823358621222183,2958934,1
40,1723823361339366715,2572792,0
41,1723823364722135842,5917244,0
42,1723823374427100044,3537211,1
43,1723823377844762984,3408977,0
44,1723823381178872587,4180565,0
45,1723823383788595623,257332,0
46,1723823385686059416,192951,0
47,1723823387672227126,7653779,0
48,1723823397832645950,4695469,1
49,1723823401434600470,3987806,0
50,1723823404836203551,5788818,0
51,1723823414591766178,128618,1
52,1723823417341143917,3472998,0
53,1723823420487688230,4052043,0
54,1723823424085246636,7653995,0
55,1723823433590103818,2894553,1
56,1723823436331543730,2186890,0
57,1723823439841159353,4888684,0
58,1723823443952691390,2251199,0
59,1723823446619129084,6368031,0
60,1723823459378920946,4824183,1
61,1723823462937850980,4695181,0
62,1723823466543437072,5274154,0
63,1723823469691522456,2701434,0
64,1723823472918773287,2508483,0
65,1723823476016885588,7654163,0
66,1723823492921713573,7654643,2
67,1723823501971661894,5145920,1
68,1723823504499543160,2379865,0
69,1723823507588198216,6946644,0
70,1723823511021343617,4437993,0
71,1723823514050989691,3730594,0
72,1723823517056273525,7653875,0
73,1723823527798312972,5145680,1
74,1723823530688472720,3215834,0
75,1723823533929774281,4309423,0
76,1723823537378577673,2122821,0
77,1723823540688663947,5017038,0
78,1723823545472064869,7654043,0
79,1723823554425925541,707495,1
80,1723823556489554862,643186,0
81,1723823558752600781,4116232,0
82,1723823562044721569,1672250,0
83,1723823564676487354,3215906,0
84,1723823567888421446,3923401,0
