height,block time,block size,last commit round
1,1724229316337713000,0,0
2,1724229370327470785,0,2
3,1724229372064794764,0,0
4,1724229373590103653,0,0
5,1724229375201242440,0,0
6,1724229376823948823,0,0
7,1724229378476948319,0,0
8,1724229380005854046,0,0
9,1724229381541519928,0,0
10,1724229383156575556,0,0
11,1724229384679935775,0,0
12,1724229386077712404,0,0
13,1724229387483807063,0,0
14,1724229389104331692,0,0
15,1724229390626197715,6292,0
16,1724229392139614847,0,0
17,1724229393675089671,6292,0
18,1724229395154786290,0,0
19,1724229396618647936,2446402,0
20,1724229398963487082,128758,0
21,1724229400534767195,2388315,0
22,1724229402467227029,1878379,0
23,1724229404308944070,900662,0
24,1724229405926156391,450331,0
25,1724229407428648716,5213135,0
26,1724229409542458183,7658961,0
27,1724229411790590030,0,0
28,1724229413231773762,4760642,0
29,1724229415307629001,7654691,0
30,1724229417399222466,450163,0
31,1724229418978575976,4759826,0
32,1724229421246223651,7654715,0
33,1724229423802623218,450163,0
34,1724229425360361299,5209029,0
35,1724229427257811096,7589542,0
36,1724229429314465308,0,0
37,1724229430670839693,1736415,0
38,1724229432267328321,6303002,0
39,1724229434519568501,4951817,0
40,1724229436418804853,1157922,0
41,1724229438120940632,5789346,0
42,1724229440038267781,6431884,0
43,1724229442123112823,0,0
44,1724229443560269391,4694557,0
45,1724229445704868049,7653899,0
46,1724229447892080526,321641,0
47,1724229449398965399,3794855,0
48,1724229451266915585,7653731,0
49,1724229453365486850,1222327,0
50,1724229455035730541,3602648,0
51,1724229457031364172,7654691,0
52,1724229459151396225,1415062,0
53,1724229460810718653,1479443,0
54,1724229462395913166,5339231,0
55,1724229464466041335,6883223,0
56,1724229466513987521,450163,0
57,1724229467952669285,4437729,0
58,1724229469929969194,7653179,0
59,1724229472019948388,578949,0
60,1724229473584860367,3151909,0
61,1724229475473094757,7655411,0
62,1724229477679287472,1865297,0
63,1724229479387091328,1929582,0
64,1724229481321690652,7652891,0
65,1724229483517388120,3087384,0
66,1724229485366629097,1929606,0
67,1724229487363752586,7655603,0
68,1724229489454936474,3023099,0
69,1724229491350899538,2122605,0
70,1724229493137942527,7653827,0
71,1724229495212093120,3087840,0
72,1724229497069614176,1608325,0
73,1724229498731617306,5017518,0
74,1724229500815080199,7589902,0
75,1724229502966689679,0,0
76,1724229504415576716,2959270,0
77,1724229506534433532,7653731,0
78,1724229508522182322,1993579,0
79,1724229510314065351,2829596,0
80,1724229512275833991,7652795,0
81,1724229514598409855,2122197,0
82,1724229516473158294,2958262,0
83,1724229518226006142,7654235,0
84,1724229520302770925,2058272,0
85,1724229522249446984,2443742,0
86,1724229524109449579,7654499,0
87,1724229526395160973,2444606,0
88,1724229528235449595,2251655,0
89,1724229530210145852,7654307,0
90,1724229532328730170,2637125,0
91,1724229534312842719,2830652,0
92,1724229536226858360,7653731,0
93,1724229538486281750,2057888,0
94,1724229540346004324,2829596,0
95,1724229542144492044,7652771,0
96,1724229544275990160,2057888,0
97,1724229546216891259,1800652,0
98,1724229547958402550,7652771,0
99,1724229550132835390,3086832,0
100,1724229551946164270,578781,0
101,1724229553523750745,7652795,0
102,1724229555609284861,4565987,0
103,1724229557711964429,257236,0
104,1724229559202829671,4180397,0
105,1724229561319993296,7654235,0
106,1724229563397785232,643090,0
107,1724229564954441900,3536995,0
108,1724229566946074633,7653515,0
109,1724229569081851642,1286564,0
110,1724229570677226628,2122989,0
111,1724229572648190347,7655075,0
112,1724229574754680428,2701482,0
113,1724229576864914514,3537259,0
114,1724229578852239199,7654907,0
115,1724229581006099146,1286612,0
116,1724229582725344178,2122989,0
117,1724229584801956342,7654211,0
118,1724229586921256844,2701626,0
119,1724229588822684481,2508987,0
120,1724229590777726064,7655027,0
121,1724229593314683111,2315460,0
122,1724229595262164749,4373012,0
123,1724229597469535713,7074854,0
124,1724229599541236272,964803,0
125,1724229601294217908,4309927,0
126,1724229603487117572,7653299,0
127,1724229605629593997,450163,0
128,1724229607103499646,3665613,0
129,1724229609246458414,7652771,0
130,1724229611229370799,1093253,0
131,1724229612889656268,2572360,0
132,1724229614899897721,7652795,0
133,1724229617078829699,2186554,0
134,1724229619060652217,3665925,0
135,1724229621190866119,7654115,0
136,1724229623242911315,964827,0
137,1724229624820188363,1800652,0
138,1724229626584919844,7654547,0
139,1724229628754327062,3216602,0
140,1724229630825929028,1479635,0
141,1724229632491730948,7654259,0
142,1724229634603766886,3216242,0
143,1724229636795257894,1479659,0
144,1724229638394653806,7655219,0
145,1724229640589335256,3858972,0
146,1724229642612808344,771732,0
147,1724229644302008209,7461572,0
148,1724229646343329420,4438929,0
149,1724229648476116376,385974,0
150,1724229649989091765,5016918,0
151,1724229652116398166,7140243,0
152,1724229654243551380,64333,0
153,1724229655678483371,2766319,0
154,1724229657551336070,7654547,0
155,1724229659666174631,1800724,0
156,1724229661343035224,1286420,0
157,1724229662863043691,7654835,0
158,1724229665099737703,4052691,0
159,1724229667136278646,128642,0
160,1724229668601169035,7654283,0
161,1724229671062648631,4502806,0
162,1724229672978433875,257332,0
163,1724229674565783592,7396399,0
164,1724229676790276508,4694845,0
165,1724229678911310333,64333,0
166,1724229680297031792,4631112,0
167,1724229682345833922,0,0
168,1724229685673158261,7653419,0
169,1724229688112114051,3864906,0
170,1724229690450013439,2444510,0
171,1724229692559450007,7140843,0
172,1724229694939931999,192999,0
173,1724229696502793265,2508195,0
