height,block time,block size,last commit round
1,1724864500551138000,0,0
2,1724864537648455436,0,1
3,1724864539556286784,0,0
4,1724864541517547304,0,0
5,1724864543282750036,0,0
6,1724864545204118562,0,0
7,1724864546959576099,0,0
8,1724864548623916075,0,0
9,1724864550308004360,0,0
10,1724864551970337369,0,0
11,1724864553722932000,0,0
12,1724864555350267493,0,0
13,1724864556952283168,6292,0
14,1724864558748443823,0,0
15,1724864560384946558,6292,0
16,1724864561994489323,0,0
17,1724864563536474576,515032,0
18,1724864565176902286,1293872,0
19,1724864566974727580,2452464,0
20,1724864568945547303,1351867,0
21,1724864570631809850,1351453,0
22,1724864572297160758,3217432,0
23,1724864574403483115,4311737,0
24,1724864576396038466,2445666,0
25,1724864578312657797,3538315,0
26,1724864580311599068,3859860,0
27,1724864582282685825,2573128,0
28,1724864584164608809,3473190,0
29,1724864586087412528,3923497,0
30,1724864588108844204,2379985,0
31,1724864590075633953,3279855,0
32,1724864591940309298,4244514,0
33,1724864593863467557,2379577,0
34,1724864595776318708,3280287,0
35,1724864597758235613,3987926,0
36,1724864599647342416,2637077,0
37,1724864601552087311,2508363,0
38,1724864603441088314,4373612,0
39,1724864605423586007,3023075,0
40,1724864607317411746,2637053,0
41,1724864609191948316,3472758,0
42,1724864611109281655,3472806,0
43,1724864612991274369,2701242,0
44,1724864614897979143,3537763,0
45,1724864616868881139,3666429,0
46,1724864618779542247,2251103,0
47,1724864620724827142,3409601,0
48,1724864622573189547,4181477,0
49,1724864624583877326,2251535,0
50,1724864626521766802,3537691,0
51,1724864628545633654,4116544,0
52,1724864630443710424,2444342,0
53,1724864632336071512,2830244,0
54,1724864634237341132,4245210,0
55,1724864636186996955,2765719,0
56,1724864638031415669,2636981,0
57,1724864639905499401,3730594,0
58,1724864641802203164,3344668,0
59,1724864643655373042,2444462,0
60,1724864645549784438,3795047,0
61,1724864647433931486,3409001,0
62,1724864649385612881,2186626,0
63,1724864651264010613,3408953,0
64,1724864653165488968,4245138,0
65,1724864655049810235,2251487,0
66,1724864656968604728,3216146,0
